asset_id,asset_type,near_junction,motorway,latitude,longitude
M1_18_asset1,Safety Barrier,18,M1,52.3505111007984,-1.1551416126041054
M1_18_asset2,Gantry,18,M1,52.35237026580263,-1.154387026384641
M1_18_asset3,Gantry,18,M1,52.34522389764011,-1.1592881131655945
M1_18_asset4,Gantry,18,M1,52.350630446918025,-1.1554065606011208
M1_19_asset1,Gantry,19,M1,52.40813615575443,-1.1756712870190023
M1_19_asset2,Signage,19,M1,52.40243744592426,-1.1850093743623737
M1_19_asset3,Signage,19,M1,52.4038446670919,-1.1800256936178288
M1_19_asset4,Gantry,19,M1,52.41058696141549,-1.1786788331835871
M1_20_asset1,Gantry,20,M1,52.44795048941113,-1.1938107458076823
M1_20_asset2,Gantry,20,M1,52.45599056501209,-1.1902450738127555
M1_20_asset3,Safety Barrier,20,M1,52.45113558083949,-1.190809512336494
M1_20_asset4,Signage,20,M1,52.44701852243791,-1.200056389841864
M1_21_asset1,Safety Barrier,21,M1,52.60290557064299,-1.1981068687882923
M1_21_asset2,Signage,21,M1,52.60369490764246,-1.1925337977906505
M1_21_asset3,Signage,21,M1,52.598375319355725,-1.2036965852259764
M1_21_asset4,Signage,21,M1,52.603421108599775,-1.195510221257284
M1_21A_asset1,Gantry,21A,M1,52.63634837618151,-1.2160512784917128
M1_21A_asset2,Safety Barrier,21A,M1,52.62896939205081,-1.210375450722823
M1_21A_asset3,Safety Barrier,21A,M1,52.638645745219094,-1.2179176403973948
M1_21A_asset4,Signage,21A,M1,52.636385371995765,-1.2141573962843317
M1_22_asset1,Signage,22,M1,52.704502264928664,-1.2925141915753962
M1_22_asset2,Signage,22,M1,52.69977911598565,-1.284388205500718
M1_22_asset3,Safety Barrier,22,M1,52.696233802585866,-1.2917961965224263
M1_22_asset4,Signage,22,M1,52.70441345411453,-1.2927064221510374
M1_23_asset1,Gantry,23,M1,52.75864600386489,-1.282153194038688
M1_23_asset2,Safety Barrier,23,M1,52.76103155147875,-1.2741488412919437
M1_23_asset3,Signage,23,M1,52.76090082063639,-1.2754960070649894
M1_23_asset4,Signage,23,M1,52.75855163253517,-1.271311693576454
M1_23A_asset1,Signage,23A,M1,52.817998340506946,-1.3152888378725436
M1_23A_asset2,Gantry,23A,M1,52.818498140994805,-1.3082607555248473
M1_23A_asset3,Signage,23A,M1,52.813826110468895,-1.3049803216129616
M1_23A_asset4,Safety Barrier,23A,M1,52.81466434131851,-1.3140071113584302
M1_24_asset1,Gantry,24,M1,52.85169426325493,-1.3050328184928166
M1_24_asset2,Gantry,24,M1,52.84612689639212,-1.2992068150949159
M1_24_asset3,Gantry,24,M1,52.84503713531698,-1.2959016641593528
M1_24_asset4,Gantry,24,M1,52.84299074139575,-1.2960833734569546
M1_24A_asset1,Safety Barrier,24A,M1,52.86195661938201,-1.3068566970291147
M1_24A_asset2,Gantry,24A,M1,52.857759136073724,-1.3127612589742137
M1_24A_asset3,Signage,24A,M1,52.85786418569791,-1.3022492851414849
M1_24A_asset4,Safety Barrier,24A,M1,52.85333430838417,-1.3014144639566914
M1_25_asset1,Safety Barrier,25,M1,52.91732273789809,-1.295776287567223
M1_25_asset2,Signage,25,M1,52.915224249389674,-1.2912889431304118
M1_25_asset3,Gantry,25,M1,52.9189816667673,-1.300555796826016
M1_25_asset4,Signage,25,M1,52.91512299038998,-1.3020145102987635
M1_26_asset1,Signage,26,M1,52.99398688499535,-1.2387875330593168
M1_26_asset2,Gantry,26,M1,52.99224203416545,-1.2349019835342654
M1_26_asset3,Signage,26,M1,52.98809648221615,-1.2456847266604363
M1_26_asset4,Safety Barrier,26,M1,52.987193077035464,-1.2300618847666198
M1_27_asset1,Safety Barrier,27,M1,53.067531935895545,-1.2617401745501635
M1_27_asset2,Signage,27,M1,53.06884784585252,-1.272552307953712
M1_27_asset3,Safety Barrier,27,M1,53.06643477895309,-1.2712098700960432
M1_27_asset4,Signage,27,M1,53.060306770331934,-1.2682121905670933
M6_1_asset1,Safety Barrier,1,M6,52.406976812541345,-1.2461944990015166
M6_1_asset2,Signage,1,M6,52.40775909234026,-1.2439803814115427
M6_1_asset3,Gantry,1,M6,52.40589035782661,-1.2426703147374434
M6_1_asset4,Signage,1,M6,52.40584079140829,-1.2382547798126766
M6_10_asset1,Signage,10,M6,52.58808210853867,-2.0130905376379746
M6_10_asset2,Signage,10,M6,52.58289774000207,-2.017641920266946
M6_10_asset3,Gantry,10,M6,52.58628608709459,-2.017677212384841
M6_10_asset4,Gantry,10,M6,52.58940626824613,-2.0181678648235133
M6_10A_asset1,Signage,10A,M6,52.62689683402989,-2.0462000271254785
M6_10A_asset2,Gantry,10A,M6,52.625696602546185,-2.047729028867834
M6_10A_asset3,Gantry,10A,M6,52.62644437304141,-2.0445357574923295
M6_10A_asset4,Signage,10A,M6,52.630822238804264,-2.0465976898009677
M6_11_asset1,Signage,11,M6,52.663909515987406,-2.056781620614021
